id,products,productsVariants,productsVariantsIds,total,createdAt,scannedAt
3963,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-14 18:08:35.973177","2024-12-22 01:01:28.868886,2024-12-22 01:02:00.659994"
3965,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187,183,183",40.00,"2024-11-14 22:07:17.301217","2024-11-30 15:12:18.027832,2024-11-30 15:12:12.240235,2024-11-30 18:20:55.240514,2024-11-30 18:19:05.866272,2024-11-30 18:50:32.196999,2024-11-30 18:50:27.591671"
3967,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",8.00,"2024-11-14 23:15:16.818631","2024-12-15 20:22:42.198435,2024-12-15 20:22:37.863796"
3980,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183",32.00,"2024-11-16 12:32:16.250151","2024-12-01 15:55:03.039362,2024-12-01 15:55:13.342874,2024-12-01 15:55:23.396076,2024-12-01 15:55:31.038953"
4005,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-18 14:50:17.904217","2024-12-15 19:38:23.573162,2024-12-15 19:38:15.620416"
4006,"Entree schaatsbaan",Volwassen,185,0.00,"2024-11-18 22:33:42.794417","2024-11-18 23:11:18.607515"
4017,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","183,183,183,183,183",32.00,"2024-11-21 00:09:38.500359","2024-12-16 00:06:14.587206,2024-12-16 00:06:06.448785,2024-12-16 00:06:30.731030,2024-12-16 00:06:21.526378"
4037,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185",24.00,"2024-11-21 20:29:25.630035","2024-12-21 16:21:53.403224,2024-12-23 14:13:34.447989,2024-12-21 16:22:03.794524,2024-12-21 16:22:08.088546"
4054,"Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen","185,185,187,187",24.00,"2024-11-22 02:24:51.465557","2024-12-11 00:12:19.584297,2024-12-11 00:12:24.833254,2024-12-11 00:06:56.810718,2024-12-11 00:06:53.225183"
4069,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Kinderen,Kinderen","185,185,186,186",21.00,"2024-11-22 20:04:59.333477","2024-12-26 20:27:08.505966,2024-12-26 20:27:22.584827,2024-12-26 20:27:38.383365,2024-12-26 21:22:33.738321"
4082,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-23 00:06:15.226366","2024-11-30 20:49:33.039601,2024-11-30 20:49:42.735630"
4083,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",16.00,"2024-11-23 02:16:10.143642","2024-12-30 21:13:28.620170,2024-12-30 21:13:36.707503"
4085,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,183,183,183,183",56.00,"2024-11-23 14:20:04.847120","2024-12-03 21:06:11.182190,2024-12-03 21:06:21.180556,2024-12-03 21:06:25.775418,2024-12-03 21:06:32.337482"
4086,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","185,185,185,185,187,187",24.00,"2024-11-23 17:59:15.336600","2024-11-30 21:41:13.484974,2024-11-30 21:41:13.469745,2024-11-30 21:41:03.864087,2024-11-30 21:40:54.155671,2024-11-30 21:33:04.719745,2024-11-30 21:32:59.462370"
4088,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","183,183",47.60,"2024-11-24 13:58:54.310862","2024-12-22 00:12:49.347268,2024-12-22 00:13:03.821341"
