id,products,productsVariants,productsVariants,total,createdAt,scannedAt
444,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Carrousel","Volwassen,Volwassen,Kinderen,Kinderen","150,150,161,153",19.25,2023-11-25 01:06:27.587681,"2023-12-01 23:00:32.804183,2023-12-01 23:00:41.244358"
445,"Reuzenrad ,Reuzenrad ,Reuzenrad ,Carrousel","Volwassen,Volwassen,Kinderen,Kinderen","150,150,161,153",19.25,2023-11-25 01:06:46.544307,"2023-12-01 23:02:21.132792,2023-12-01 23:02:02.382712"
449,Carrousel,Kinderen,153,3.50,2023-11-25 01:39:32.995417,NULL
453,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ","Volwassen,Volwassen,Volwassen,Kinderen,Volwassen,Volwassen,Volwassen,Volwassen,Kinderen","148,148,148,149,150,150,150,150,161",66.15,2023-11-25 01:52:21.435860,"2023-12-25 16:45:54.990565,2023-12-25 16:45:59.080066,2023-12-25 16:45:50.163372,2023-12-25 16:45:36.795053"
472,"Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan,Entree schaatsbaan","Volwassen,Volwassen,Kinderen,Kinderen","143,143,144,144",21.00,2023-11-25 20:52:33.209846,"2023-12-30 19:56:33.126035,2023-12-30 20:35:42.737315,2023-12-30 19:56:43.332566,2023-12-30 19:56:25.636758"
473,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Reuzenrad ,Reuzenrad ,Reuzenrad ,Reuzenrad ,Carrousel,Carrousel,Carrousel,Carrousel","Volwassen,Volwassen,Kinderen,Kinderen,Volwassen,Volwassen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen,Kinderen","148,148,149,149,150,150,161,161,153,153,153,153",67.00,2023-11-25 20:53:48.061026,"2023-12-02 18:11:12.387303,2023-12-02 18:10:42.228512,2023-12-02 18:10:50.837153,2023-12-02 18:10:46.889303,2023-12-02 16:33:31.147326,2023-12-02 16:33:41.184022,2023-12-02 16:33:46.193382,2023-12-02 16:33:02.415929"
474,"Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur,Schaatsverhuur","Volwassen,Volwassen,Volwassen,Volwassen,Volwassen","148,148,148,148,148",30.00,2023-11-26 00:18:52.248639,"2023-12-10 14:30:47.700661,2023-12-10 14:30:39.511559,2023-12-10 14:30:43.732229,2023-12-10 14:30:33.213652,2023-12-10 14:30:54.214066"
478,Schaatsverhuur,Volwassen,148,6.00,2023-11-26 14:08:16.461659,2023-12-09 16:09:16.501458
481,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-26 18:17:42.009329,"2023-12-30 23:26:07.478388,2023-12-30 23:26:18.759591"
491,"Reuzenrad ,Reuzenrad ","Volwassen,Volwassen","150,150",16.00,2023-11-27 01:29:11.626129,"2023-12-03 15:34:53.976172,2023-12-03 15:35:08.564783"
