date,deal_variant_key,Final_Forecast
2025-11-11,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.0913231439084
2025-11-11,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),21.49433860390829
2025-11-11,magisch vrijthof pakket_magisch vrijthof,22.86627600666378
2025-11-11,magisch vrijthof pakket_magisch vrijthof pakket,22.626435341845006
2025-11-11,magisch vrijthof pakket_niet geldig op woensdag,23.326737587798736
2025-11-11,magisch vrijthof pakket_weekend,22.287230087497445
2025-11-11,magisch vrijthof_magisch vrijthof,23.036223951310337
2025-11-11,magisch vrijthof_magisch vrijthof pakket,22.990866303103576
2025-11-11,magische fijnproevers_alle dagen geldig,21.33548182163137
2025-11-11,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),30.032944975736402
2025-11-11,soort pakket_basis,30.073750733954583
2025-11-11,soort pakket_standaard,30.11524358444275
2025-11-12,carrousel (5 tickets)_5 tickets,20.915759533017237
2025-11-12,carrousel (5 tickets)_alle dagen geldig,18.500788912519546
2025-11-12,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),20.936993368385174
2025-11-12,kids pakket_alle dagen geldig,21.98039655308351
2025-11-12,kids pakket_magisch vrijthof pakket,21.284954525433864
2025-11-12,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),25.688038914694292
2025-11-12,magisch kids pakket_5 tickets,23.453876763315034
2025-11-12,magisch kids pakket_alle dagen geldig,21.757506941696587
2025-11-12,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.710716207974595
2025-11-12,magisch kids pakket_niet geldig op woensdag,25.891500001473524
2025-11-12,magisch vrijthof pakket_alle dagen geldig,21.420487691781446
2025-11-12,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,22.59935324717385
2025-11-12,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.078300295761025
2025-11-12,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),21.583096817451086
2025-11-12,magisch vrijthof pakket_magisch vrijthof,24.385226320297136
2025-11-12,magisch vrijthof pakket_magisch vrijthof pakket,24.43964878558377
2025-11-12,magisch vrijthof pakket_niet geldig op woensdag,25.91956805829247
2025-11-12,magisch vrijthof pakket_weekend,24.82709979692552
2025-11-12,magisch vrijthof_magisch vrijthof,24.16402587584562
2025-11-12,magisch vrijthof_magisch vrijthof pakket,24.090778126693376
2025-11-12,magische fijnproevers_alle dagen geldig,21.21924564126884
2025-11-12,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),25.937751044121814
2025-11-12,soort pakket_basis,25.969338686068475
2025-11-12,soort pakket_standaard,26.005168666070308
2025-11-13,carrousel (5 tickets)_5 tickets,23.704941071778627
2025-11-13,carrousel (5 tickets)_alle dagen geldig,21.911252688036477
2025-11-13,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.14476212003914
2025-11-13,kids pakket_alle dagen geldig,25.264163610786767
2025-11-13,kids pakket_magisch vrijthof pakket,24.699832811084963
2025-11-13,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),29.40639158443681
2025-11-13,magisch kids pakket_5 tickets,26.747200221880746
2025-11-13,magisch kids pakket_alle dagen geldig,26.264252615554955
2025-11-13,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),21.870668353945735
2025-11-13,magisch kids pakket_niet geldig op woensdag,24.848914020359597
2025-11-13,magisch vrijthof pakket_alle dagen geldig,21.498131137484418
2025-11-13,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,21.638839608880076
2025-11-13,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),21.46608260696417
2025-11-13,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),18.742797672683427
2025-11-13,magisch vrijthof pakket_magisch vrijthof,22.455755453691918
2025-11-13,magisch vrijthof pakket_magisch vrijthof pakket,22.455840852967576
2025-11-13,magisch vrijthof pakket_niet geldig op woensdag,27.30715826106258
2025-11-13,magisch vrijthof pakket_weekend,26.18986576319792
2025-11-13,magisch vrijthof_magisch vrijthof,26.625530621367496
2025-11-13,magisch vrijthof_magisch vrijthof pakket,26.634344098811564
2025-11-13,magische fijnproevers_alle dagen geldig,24.09181672460657
2025-11-13,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),29.02026558924763
2025-11-13,soort pakket_basis,29.058789026129432
2025-11-13,soort pakket_standaard,29.098881530689138
2025-11-14,carrousel (5 tickets)_5 tickets,18.619789384873947
2025-11-14,carrousel (5 tickets)_alle dagen geldig,20.81457173628386
2025-11-14,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),24.59394725356208
2025-11-14,kids pakket_alle dagen geldig,27.369463026054085
2025-11-14,kids pakket_magisch vrijthof pakket,25.96127915180879
2025-11-14,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),28.50118169182395
2025-11-14,magisch kids pakket_5 tickets,26.91194891824307
2025-11-14,magisch kids pakket_alle dagen geldig,27.972549668268567
2025-11-14,magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),27.771741196698702
2025-11-14,magisch kids pakket_niet geldig op woensdag,32.17618762949431
2025-11-14,magisch vrijthof pakket_alle dagen geldig,27.697555774128336
2025-11-14,magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,22.532443629866034
2025-11-14,magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),22.98911285940277
2025-11-14,magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),22.334523365731048
2025-11-14,magisch vrijthof pakket_magisch vrijthof,22.864980754284048
2025-11-14,magisch vrijthof pakket_magisch vrijthof pakket,22.808628676209437
2025-11-14,magisch vrijthof pakket_niet geldig op woensdag,23.379943436331143
2025-11-14,magisch vrijthof pakket_weekend,23.20053123111323
2025-11-14,magisch vrijthof_magisch vrijthof,23.25203431969875
2025-11-14,magisch vrijthof_magisch vrijthof pakket,23.132134347790114
2025-11-14,magische fijnproevers_alle dagen geldig,23.52848541845706
2025-11-14,magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),27.267156138597535
2025-11-14,soort pakket_basis,27.301733463626437
2025-11-14,soort pakket_standaard,27.339401752982685
2025-11-17,carrousel (5 tickets)_5 tickets,20.518654039715827
2025-11-17,carrousel (5 tickets)_alle dagen geldig,17.547002834254073
2025-11-17,carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),19.954685916550826
2025-11-17,kids pakket_alle dagen geldig,21.621497881742254
2025-11-17,kids pakket_magisch vrijthof pakket,20.860563587328734
2025-11-17,kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),21.40810500098508
2025-11-17,magisch kids pakket_5 tickets,21.737947834195985
