curlingtracks,slotDates,baseline,growth_rate,final_forecast
Street Curlingbaan 2,2025-11-18,39.91424181675541,0.14704285838459497,45.78334602374505
Street Curlingbaan 1,2025-11-19,39.91259254628158,0.11247240713084175,50.39521707675361
Street Curlingbaan 2,2025-11-19,39.914234067007044,0.14704285838459497,45.783337134451536
Street Curlingbaan 1,2025-11-20,39.9125066288737,0.11247240713084175,50.39510859403814
Street Curlingbaan 2,2025-11-20,39.91420310150266,0.14704285838459497,45.78330161569087
Street Curlingbaan 1,2025-11-21,39.912407600862956,0.11247240713084175,50.39498355735724
Street Curlingbaan 2,2025-11-21,39.914279303057796,0.14704285838459497,45.78338902214049
Street Curlingbaan 1,2025-11-24,39.91145472618584,0.11247240713084175,50.393780420123186
Street Curlingbaan 2,2025-11-24,39.91146447924737,0.14704285838459497,45.78016029859113
Street Curlingbaan 1,2025-11-25,39.91266767492135,0.11247240713084175,50.395311937143994
Street Curlingbaan 2,2025-11-25,39.91157595942987,0.14704285838459497,45.78028817113832
Street Curlingbaan 1,2025-11-26,39.91237533711647,0.11247240713084175,50.39494281987557
Street Curlingbaan 2,2025-11-26,39.91119273870169,0.14704285838459497,45.77984860053888
Street Curlingbaan 1,2025-11-27,39.9127797481041,0.11247240713084175,50.39545344517474
Street Curlingbaan 2,2025-11-27,39.91097763570498,0.14704285838459497,45.77960186818268
Street Curlingbaan 1,2025-11-28,39.91365839103848,0.11247240713084175,50.396562854476066
Street Curlingbaan 2,2025-11-28,39.91093049153249,0.14704285838459497,45.77954779179631
Street Curlingbaan 1,2025-12-01,39.91317670396814,0.11247240713084175,50.39595465734017
Street Curlingbaan 2,2025-12-01,39.91337416540739,0.14704285838459497,45.782350790462736
Street Curlingbaan 1,2025-12-02,39.91373132134936,0.11247240713084175,50.396654939169494
Street Curlingbaan 2,2025-12-02,39.91405565262578,0.14704285838459497,45.78313248550967
Street Curlingbaan 1,2025-12-03,39.912676784195895,0.11247240713084175,50.39532343887412
Street Curlingbaan 2,2025-12-03,39.91351606725946,0.14704285838459497,45.78251355796874
Street Curlingbaan 1,2025-12-04,39.912555279181944,0.11247240713084175,50.395170021840464
Street Curlingbaan 2,2025-12-04,39.913479659809475,0.14704285838459497,45.782471797063245
Street Curlingbaan 1,2025-12-05,39.91301890381411,0.11247240713084175,50.39575541262793
Street Curlingbaan 2,2025-12-05,39.913295839751825,0.14704285838459497,45.78226094757889
Street Curlingbaan 1,2025-12-08,39.91282280769303,0.11247240713084175,50.39550781391385
Street Curlingbaan 2,2025-12-08,39.91280556437819,0.14704285838459497,45.78169858071292
Street Curlingbaan 1,2025-12-09,39.91314217045185,0.11247240713084175,50.395911053957406
Street Curlingbaan 2,2025-12-09,39.913328484980426,0.14704285838459497,45.78229839305522
Street Curlingbaan 1,2025-12-10,39.913017059083316,0.11247240713084175,50.3957530833979
Street Curlingbaan 2,2025-12-10,39.913147250054784,0.14704285838459497,45.78209050882807
Street Curlingbaan 1,2025-12-11,39.912969214446726,0.11247240713084175,50.39569267286846
Street Curlingbaan 2,2025-12-11,39.91314828129162,0.14704285838459497,45.78209169170092
Street Curlingbaan 1,2025-12-12,39.91307627353861,0.11247240713084175,50.39582784990987
Street Curlingbaan 2,2025-12-12,39.91317250466984,0.14704285838459497,45.78211947695391
Street Curlingbaan 1,2025-12-15,39.91296658195466,0.11247240713084175,50.39568934897992
Street Curlingbaan 2,2025-12-15,39.91322951304866,0.14704285838459497,45.78218486800771
Street Curlingbaan 1,2025-12-16,39.913292601389884,0.11247240713084175,50.39610099400625
Street Curlingbaan 2,2025-12-16,39.91336846379197,0.14704285838459497,45.782344250465485
Street Curlingbaan 1,2025-12-17,39.913142620196865,0.11247240713084175,50.395911621823245
Street Curlingbaan 2,2025-12-17,39.91325454560771,0.14704285838459497,45.782213581425786
Street Curlingbaan 1,2025-12-18,39.91301074308489,0.11247240713084175,50.39574510856862
Street Curlingbaan 2,2025-12-18,39.91298128101043,0.14704285838459497,45.781900135221036
Street Curlingbaan 1,2025-12-19,39.9130336986348,0.11247240713084175,50.39577409315335
Street Curlingbaan 2,2025-12-19,39.913067013723,0.14704285838459497,45.781998474316715
Street Curlingbaan 1,2025-12-22,39.91303287447281,0.11247240713084175,50.39577305253385
Street Curlingbaan 2,2025-12-22,39.91379777333045,0.14704285838459497,45.78283668690564
