createdAt,product_core,variant_id,year,month,weekofyear,dayofweek,day,hour,is_weekend,is_month_start,is_month_end,product_core_le,variant_id_le,lag_7d,lag_30d,lag_90d,lag_365d,rolling_mean_7d,rolling_mean_30d,rolling_mean_90d,ytd_cumsum,revenue_growth_rate,product_x_year,product_x_month,variant_x_year,variant_x_month,product_x_weekofyear,forecast
2025-12-08,Handschoenen,161,2025,12,50,0,8,12,0,0,0,2,7,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,14175,84,100,9.766879332165965
2025-12-08,Handschoenen,183,2025,12,50,0,8,12,0,0,0,2,8,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,16200,96,100,9.719022792255124
2025-12-08,Handschoenen,184,2025,12,50,0,8,12,0,0,0,2,9,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,18225,108,100,9.728607458966628
2025-12-08,Handschoenen,185,2025,12,50,0,8,12,0,0,0,2,10,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,20250,120,100,9.734233671176092
2025-12-08,Handschoenen,186,2025,12,50,0,8,12,0,0,0,2,11,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,22275,132,100,9.538598699350041
2025-12-08,Handschoenen,187,2025,12,50,0,8,12,0,0,0,2,12,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,24300,144,100,9.570749435897934
2025-12-08,Handschoenen,188,2025,12,50,0,8,12,0,0,0,2,13,4.5,,4.5,4.5,4.5,4.5,4.5,0.0,-1.0,4050,24,26325,156,100,9.493943339850198
2025-12-08,Reuzenrad,143,2025,12,50,0,8,12,0,0,0,3,0,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,0,0,150,16.737735412759086
2025-12-08,Reuzenrad,144,2025,12,50,0,8,12,0,0,0,3,1,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,2025,12,150,16.77666890721427
2025-12-08,Reuzenrad,148,2025,12,50,0,8,12,0,0,0,3,2,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,4050,24,150,17.024276832547667
2025-12-08,Reuzenrad,149,2025,12,50,0,8,12,0,0,0,3,3,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,6075,36,150,16.78148260323979
2025-12-08,Reuzenrad,150,2025,12,50,0,8,12,0,0,0,3,4,4.5,,4.5,7.047686245935561,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,8100,48,150,17.51401239826568
2025-12-08,Reuzenrad,153,2025,12,50,0,8,12,0,0,0,3,5,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,10125,60,150,17.237688184831377
2025-12-08,Reuzenrad,159,2025,12,50,0,8,12,0,0,0,3,6,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,12150,72,150,17.25977119825527
2025-12-08,Reuzenrad,161,2025,12,50,0,8,12,0,0,0,3,7,4.5,,4.5,7.443076032074113,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,14175,84,150,17.461212944521456
2025-12-08,Reuzenrad,183,2025,12,50,0,8,12,0,0,0,3,8,7.267492395442382,7.267492395442382,7.267492395442382,7.34694554131733,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,16200,96,150,17.845628456901515
2025-12-08,Reuzenrad,184,2025,12,50,0,8,12,0,0,0,3,9,8.575441971019897,8.575441971019897,8.575441971019897,8.636550992433515,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,18225,108,150,16.72063361381997
2025-12-08,Reuzenrad,185,2025,12,50,0,8,12,0,0,0,3,10,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,20250,120,150,17.011264316351635
2025-12-08,Reuzenrad,186,2025,12,50,0,8,12,0,0,0,3,11,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,22275,132,150,16.82663629670022
2025-12-08,Reuzenrad,187,2025,12,50,0,8,12,0,0,0,3,12,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,24300,144,150,16.860426736205195
2025-12-08,Reuzenrad,188,2025,12,50,0,8,12,0,0,0,3,13,4.5,,4.5,4.5,7.480673491577935,7.480673491577935,7.480673491577935,19322.579628745807,0.4860240876803749,6075,36,26325,156,150,16.99816116019988
2025-12-08,Schaatsverhuur,143,2025,12,50,0,8,12,0,0,0,4,0,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,0,0,200,12.092407849404863
2025-12-08,Schaatsverhuur,144,2025,12,50,0,8,12,0,0,0,4,1,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,2025,12,200,11.932966963314984
2025-12-08,Schaatsverhuur,148,2025,12,50,0,8,12,0,0,0,4,2,4.5,,4.5,5.058812829340597,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,4050,24,200,12.163662237305365
2025-12-08,Schaatsverhuur,149,2025,12,50,0,8,12,0,0,0,4,3,4.5,,4.5,4.215693873012472,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,6075,36,200,11.775789427342255
2025-12-08,Schaatsverhuur,150,2025,12,50,0,8,12,0,0,0,4,4,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,8100,48,200,11.892251879104172
2025-12-08,Schaatsverhuur,153,2025,12,50,0,8,12,0,0,0,4,5,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,10125,60,200,11.895627475939769
2025-12-08,Schaatsverhuur,159,2025,12,50,0,8,12,0,0,0,4,6,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,12150,72,200,11.920942207906673
2025-12-08,Schaatsverhuur,161,2025,12,50,0,8,12,0,0,0,4,7,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,14175,84,200,11.892820606578017
2025-12-08,Schaatsverhuur,183,2025,12,50,0,8,12,0,0,0,4,8,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,16200,96,200,11.852442116928602
2025-12-08,Schaatsverhuur,184,2025,12,50,0,8,12,0,0,0,4,9,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,18225,108,200,11.821160833980901
2025-12-08,Schaatsverhuur,185,2025,12,50,0,8,12,0,0,0,4,10,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,20250,120,200,11.83169941945007
2025-12-08,Schaatsverhuur,186,2025,12,50,0,8,12,0,0,0,4,11,4.5,,4.5,4.5,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,22275,132,200,11.914180443593718
2025-12-08,Schaatsverhuur,187,2025,12,50,0,8,12,0,0,0,4,12,4.979141674189221,4.979141674189221,4.979141674189221,4.982815629545019,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,24300,144,200,12.367086706700418
2025-12-08,Schaatsverhuur,188,2025,12,50,0,8,12,0,0,0,4,13,4.14974711751828,4.14974711751828,4.14974711751828,4.148405588714044,4.697100842300651,4.697100842300651,4.697100842300651,20028.437991569976,0.4882587999597677,8100,48,26325,156,200,11.949967187729795
2025-12-09,Carrousel,143,2025,12,50,1,9,12,0,0,0,0,0,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,0,0,0,14.86053004156396
2025-12-09,Carrousel,144,2025,12,50,1,9,12,0,0,0,0,1,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,2025,12,0,14.60709980020152
2025-12-09,Carrousel,148,2025,12,50,1,9,12,0,0,0,0,2,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,4050,24,0,14.765530099710052
2025-12-09,Carrousel,149,2025,12,50,1,9,12,0,0,0,0,3,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,6075,36,0,14.480192433016859
2025-12-09,Carrousel,150,2025,12,50,1,9,12,0,0,0,0,4,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,8100,48,0,14.624010684334932
2025-12-09,Carrousel,153,2025,12,50,1,9,12,0,0,0,0,5,4.769927384091319,4.769927384091319,4.769927384091319,5.363360601287334,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,10125,60,0,16.01068160209088
2025-12-09,Carrousel,159,2025,12,50,1,9,12,0,0,0,0,6,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,12150,72,0,14.767615369085831
2025-12-09,Carrousel,161,2025,12,50,1,9,12,0,0,0,0,7,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,14175,84,0,14.786850863665634
2025-12-09,Carrousel,183,2025,12,50,1,9,12,0,0,0,0,8,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,16200,96,0,14.821100554568705
2025-12-09,Carrousel,184,2025,12,50,1,9,12,0,0,0,0,9,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,18225,108,0,14.802198673251114
2025-12-09,Carrousel,185,2025,12,50,1,9,12,0,0,0,0,10,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,20250,120,0,14.844023788754889
2025-12-09,Carrousel,186,2025,12,50,1,9,12,0,0,0,0,11,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,22275,132,0,14.016202657722731
2025-12-09,Carrousel,187,2025,12,50,1,9,12,0,0,0,0,12,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,24300,144,0,14.150834333843843
2025-12-09,Carrousel,188,2025,12,50,1,9,12,0,0,0,0,13,4.5,,4.5,4.5,4.769927384091319,4.769927384091319,4.769927384091319,290.96557042957045,-0.6352102186661301,0,0,26325,156,0,14.031905658208236
2025-12-09,Entree schaatsbaan,143,2025,12,50,1,9,12,0,0,0,1,0,4.5,,4.5,3.8157213959822087,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,0,0,50,13.674275726362085
2025-12-09,Entree schaatsbaan,144,2025,12,50,1,9,12,0,0,0,1,1,4.5,,4.5,3.4088310036847416,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,2025,12,50,13.609814901701856
2025-12-09,Entree schaatsbaan,148,2025,12,50,1,9,12,0,0,0,1,2,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,4050,24,50,13.855862823927863
2025-12-09,Entree schaatsbaan,149,2025,12,50,1,9,12,0,0,0,1,3,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,6075,36,50,13.770498392179693
2025-12-09,Entree schaatsbaan,150,2025,12,50,1,9,12,0,0,0,1,4,4.5,,4.5,4.5,3.557022499391394,3.557022499391394,3.557022499391394,30024.82691736276,0.3889607778037506,2025,12,8100,48,50,13.75749297520624
