deal_variant_key,slotDates,Model_Prediction,Applied_Growth_Rate,Final_Forecast
magisch vrijthof pakket_niet geldig op woensdag,2025-11-05,0.4971161948013335,0.07608484485919076,22.461084091572527
magisch vrijthof pakket_weekend,2025-11-05,0.48038241803093507,0.08049512863264476,21.79396275055593
magisch vrijthof_magisch vrijthof,2025-11-05,0.4948475618920702,0.07863890037284232,22.411648414362595
magisch vrijthof_magisch vrijthof pakket,2025-11-05,0.49739615852943037,0.07582458280396084,22.468298125979864
magische fijnproevers_alle dagen geldig,2025-11-05,0.42890817662827196,0.08223705789444759,19.49005271466472
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-05,0.5902694382286411,0.07278987721304084,26.588341723605694
soort pakket_basis,2025-11-05,0.5893260622622409,0.07584289297070437,26.62139381891617
soort pakket_standaard,2025-11-05,0.5893260622622409,0.07732723686587384,26.658123441479272
carrousel (5 tickets)_5 tickets,2025-11-06,0.48322723995897715,0.07749080237694725,21.862069304246187
carrousel (5 tickets)_alle dagen geldig,2025-11-06,0.42808551793946753,0.08901428612819832,19.574487501868933
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-06,0.47426476513836413,0.0846398788362281,21.598953812830697
kids pakket_alle dagen geldig,2025-11-06,0.49048089056167515,0.08197316968394074,22.28254900416455
kids pakket_magisch vrijthof pakket,2025-11-06,0.48727170138918147,0.07312037280884874,21.955630701819857
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-06,0.6084884882330295,0.07311989040672406,27.41743977790742
magisch kids pakket_5 tickets,2025-11-06,0.5569571959191617,0.07116167224336399,25.049734731768982
magisch kids pakket_alle dagen geldig,2025-11-06,0.5211062660827597,0.0873235229154987,23.790927095976922
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-06,0.5235551293082106,0.08202230023486418,23.78619185636893
magisch kids pakket_niet geldig op woensdag,2025-11-06,0.566041117649313,0.0841614515559209,25.767259334720574
magisch vrijthof pakket_alle dagen geldig,2025-11-06,0.5064609357711405,0.07041168988591606,22.76266378038887
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-06,0.5846749494333638,0.08939819704323988,26.744065432040113
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-06,0.5481482897903467,0.08664885281600843,25.00999336397591
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-06,0.403043689539781,0.07424678221356552,18.179522605330565
magisch vrijthof pakket_magisch vrijthof,2025-11-06,0.5172373655270792,0.07363649934414201,23.317041494373868
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-06,0.52295863067343,0.07366809019706869,23.575649590924804
magisch vrijthof pakket_niet geldig op woensdag,2025-11-06,0.5531335204348655,0.07608484485919076,24.99210173854859
magisch vrijthof pakket_weekend,2025-11-06,0.5315682091678411,0.08049512863264476,24.116156868250783
magisch vrijthof_magisch vrijthof,2025-11-06,0.5245807886733282,0.07863890037284232,23.758266395662066
magisch vrijthof_magisch vrijthof pakket,2025-11-06,0.5266836712649241,0.07582458280396084,23.79126887319075
magische fijnproevers_alle dagen geldig,2025-11-06,0.48367530934481207,0.08223705789444759,21.978730622527312
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-06,0.6526008589211487,0.07278987721304084,29.39602412448288
soort pakket_basis,2025-11-06,0.6516204440891165,0.07584289297070437,29.435393364351583
soort pakket_standaard,2025-11-06,0.6516204440891165,0.07732723686587384,29.476005471126435
carrousel (5 tickets)_5 tickets,2025-11-07,0.4707833038903919,0.07749080237694725,21.299083259063565
carrousel (5 tickets)_alle dagen geldig,2025-11-07,0.4282540583633046,0.08901428612819832,19.58219412188224
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-07,0.501445773281362,0.0846398788362281,22.836830590995962
kids pakket_alle dagen geldig,2025-11-07,0.5502045086786953,0.08197316968394074,24.995793236523024
kids pakket_magisch vrijthof pakket,2025-11-07,0.5323681487610876,0.07312037280884874,23.987599604669857
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-07,0.6041666247701143,0.07311989040672406,27.222704078688345
magisch kids pakket_5 tickets,2025-11-07,0.5689302667510712,0.07116167224336399,25.588236165023726
magisch kids pakket_alle dagen geldig,2025-11-07,0.5671315788342257,0.0873235229154987,25.892196897376248
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-07,0.5659882652026582,0.08202230023486418,25.714016940971494
magisch kids pakket_niet geldig op woensdag,2025-11-07,0.6254313762116785,0.0841614515559209,28.470815925605347
magisch vrijthof pakket_alle dagen geldig,2025-11-07,0.594180620652244,0.07041168988591606,26.705186397320777
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-07,0.6368893608077011,0.08939819704323988,29.132444882269816
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-07,0.6323950710152746,0.08664885281600843,28.853864591190096
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-07,0.5926499113113362,0.07424678221356552,26.731822726300667
magisch vrijthof pakket_magisch vrijthof,2025-11-07,0.5836298435229439,0.07363649934414201,26.310011970832676
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-07,0.5858190075545002,0.07366809019706869,26.409476459014158
magisch vrijthof pakket_niet geldig op woensdag,2025-11-07,0.5944840211921771,0.07608484485919076,26.860431687263667
magisch vrijthof pakket_weekend,2025-11-07,0.5818311222625008,0.08049512863264476,26.396481906393415
magisch vrijthof_magisch vrijthof,2025-11-07,0.5605466504208716,0.07863890037284232,25.387160444010075
magisch vrijthof_magisch vrijthof pakket,2025-11-07,0.5585386489965807,0.07582458280396084,25.230216730342246
magische fijnproevers_alle dagen geldig,2025-11-07,0.565022537072136,0.08223705789444759,25.675236874893475
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-07,0.726911202419497,0.07278987721304084,32.743290099258424
soort pakket_basis,2025-11-07,0.7258867681410617,0.07584289297070437,32.790196734969044
soort pakket_standaard,2025-11-07,0.7258867681410617,0.07732723686587384,32.83543747473037
carrousel (5 tickets)_5 tickets,2025-11-10,0.5015895793975964,0.07749080237694725,22.69281456072069
carrousel (5 tickets)_alle dagen geldig,2025-11-10,0.4708470822147803,0.08901428612819832,21.52978771734091
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-10,0.5039457820190707,0.0846398788362281,22.950685925034307
kids pakket_alle dagen geldig,2025-11-10,0.5206298666336797,0.08197316968394074,23.652217119023256
kids pakket_magisch vrijthof pakket,2025-11-10,0.5145025587851937,0.07312037280884874,23.182606631216686
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-10,0.5228102163944195,0.07311989040672406,23.556924905667707
magisch kids pakket_5 tickets,2025-11-10,0.5320620513076006,0.07116167224336399,23.93004946116311
magisch kids pakket_alle dagen geldig,2025-11-10,0.5212675122775232,0.0873235229154987,23.79828873546163
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-10,0.5340296807380069,0.08202230023486418,24.262072381592226
magisch kids pakket_niet geldig op woensdag,2025-11-10,0.7164856794601926,0.0841614515559209,32.615779554908926
magisch vrijthof pakket_alle dagen geldig,2025-11-10,0.6258756425375527,0.07041168988591606,28.12970520169578
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-10,0.48736041327186486,0.08939819704323988,22.292726572535273
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-10,0.5903926376922313,0.08664885281600843,26.9374478144782
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-10,0.6867363950879988,0.07424678221356552,30.97564889965422
magisch vrijthof pakket_magisch vrijthof,2025-11-10,0.5078653054309556,0.07363649934414201,22.894549368488118
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-10,0.4938688485751255,0.07366809019706869,22.264244693480347
magisch vrijthof pakket_niet geldig op woensdag,2025-11-10,0.5124176859562815,0.07608484485919076,23.152447767010802
magisch vrijthof pakket_weekend,2025-11-10,0.4836372622200037,0.08049512863264476,21.941628340204673
magisch vrijthof_magisch vrijthof,2025-11-10,0.5275239353239958,0.07863890037284232,23.89156152136596
magisch vrijthof_magisch vrijthof pakket,2025-11-10,0.5279689457122563,0.07582458280396084,23.84932708084105
magische fijnproevers_alle dagen geldig,2025-11-10,0.5760702852918442,0.08223705789444759,26.17725853573738
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-10,0.7769822065269412,0.07278987721304084,34.99870920353722
soort pakket_basis,2025-11-10,0.7762128237890269,0.07584289297070437,35.06355580144964
soort pakket_standaard,2025-11-10,0.7762128237890269,0.07732723686587384,35.11193310201729
carrousel (5 tickets)_5 tickets,2025-11-11,0.5152758048046322,0.07749080237694725,23.312004009534785
carrousel (5 tickets)_alle dagen geldig,2025-11-11,0.48348556797246456,0.08901428612819832,22.10769066228782
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-11,0.5356116234154147,0.0846398788362281,24.392810864601593
kids pakket_alle dagen geldig,2025-11-11,0.5464339437925638,0.08197316968394074,24.824496457249126
kids pakket_magisch vrijthof pakket,2025-11-11,0.5362198914601815,0.07312037280884874,24.16115255268354
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-11,0.5489324953818238,0.07311989040672406,24.73394965609252
magisch kids pakket_5 tickets,2025-11-11,0.5569156426627706,0.07116167224336399,25.047865830428872
magisch kids pakket_alle dagen geldig,2025-11-11,0.5580781552776575,0.0873235229154987,25.478865963126637
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-11,0.5650663531549751,0.08202230023486418,25.67213257080046
magisch kids pakket_niet geldig op woensdag,2025-11-11,0.6167425670511848,0.0841614515559209,28.075284943901924
magisch vrijthof pakket_alle dagen geldig,2025-11-11,0.5115629696248656,0.07041168988591606,22.991972445689335
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-11,0.43505973811838466,0.08939819704323988,19.900401264601133
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-11,0.48417929682386135,0.08664885281600843,22.0913231439084
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-11,0.47653383002457655,0.07424678221356552,21.49433860390829
magisch vrijthof pakket_magisch vrijthof,2025-11-11,0.5072381229820955,0.07363649934414201,22.86627600666378
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-11,0.5019030164049874,0.07366809019706869,22.626435341845006
magisch vrijthof pakket_niet geldig op woensdag,2025-11-11,0.5162751263251197,0.07608484485919076,23.326737587798736
magisch vrijthof pakket_weekend,2025-11-11,0.4912550142066626,0.08049512863264476,22.287230087497445
magisch vrijthof_magisch vrijthof,2025-11-11,0.5086381441804284,0.07863890037284232,23.036223951310337
magisch vrijthof_magisch vrijthof pakket,2025-11-11,0.5089646094380693,0.07582458280396084,22.990866303103576
magische fijnproevers_alle dagen geldig,2025-11-11,0.4695196436650055,0.08223705789444759,21.33548182163137
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-11,0.6667406994938967,0.07278987721304084,30.032944975736402
soort pakket_basis,2025-11-11,0.6657519594223558,0.07584289297070437,30.073750733954583
soort pakket_standaard,2025-11-11,0.6657519594223558,0.07732723686587384,30.11524358444275
carrousel (5 tickets)_5 tickets,2025-11-12,0.46231052560164215,0.07749080237694725,20.915759533017237
carrousel (5 tickets)_alle dagen geldig,2025-11-12,0.40460419733331515,0.08901428612819832,18.500788912519546
carrousel (5 tickets)_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-12,0.45972959285935555,0.0846398788362281,20.936993368385174
kids pakket_alle dagen geldig,2025-11-12,0.48382994576788496,0.08197316968394074,21.98039655308351
kids pakket_magisch vrijthof pakket,2025-11-12,0.4723870676482018,0.07312037280884874,21.284954525433864
kids pakket_weekprijs (maandag t/m vrijdag & geldig t/m 22 december),2025-11-12,0.5701070592838029,0.07311989040672406,25.688038914694292
magisch kids pakket_5 tickets,2025-11-12,0.5214748010470067,0.07116167224336399,23.453876763315034
magisch kids pakket_alle dagen geldig,2025-11-12,0.4765671029093481,0.0873235229154987,21.757506941696587
magisch kids pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-12,0.49988295868237065,0.08202230023486418,22.710716207974595
magisch kids pakket_niet geldig op woensdag,2025-11-12,0.5687703689427004,0.0841614515559209,25.891500001473524
magisch vrijthof pakket_alle dagen geldig,2025-11-12,0.47659800916624057,0.07041168988591606,21.420487691781446
magisch vrijthof pakket_black friday deze deal vervalt op 24-11-23 23:59,2025-11-12,0.4940638419612987,0.08939819704323988,22.59935324717385
magisch vrijthof pakket_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-12,0.527728213922309,0.08664885281600843,24.078300295761025
magisch vrijthof pakket_geldig op woensdag  zaterdag & zondag (28 november t/m 20 december),2025-11-12,0.47850161755342835,0.07424678221356552,21.583096817451086
magisch vrijthof pakket_magisch vrijthof,2025-11-12,0.5409327003486031,0.07363649934414201,24.385226320297136
magisch vrijthof pakket_magisch vrijthof pakket,2025-11-12,0.5421239916955809,0.07366809019706869,24.43964878558377
magisch vrijthof pakket_niet geldig op woensdag,2025-11-12,0.57366051395832,0.07608484485919076,25.91956805829247
magisch vrijthof pakket_weekend,2025-11-12,0.5472388096487038,0.08049512863264476,24.82709979692552
magisch vrijthof_magisch vrijthof,2025-11-12,0.5335399283925981,0.07863890037284232,24.16402587584562
magisch vrijthof_magisch vrijthof pakket,2025-11-12,0.5333141134684645,0.07582458280396084,24.090778126693376
magische fijnproevers_alle dagen geldig,2025-11-12,0.46696169018445827,0.08223705789444759,21.21924564126884
magische fijnproevers_geldig op maandag  dinsdag  donderdag & vrijdag (28 november t/m 20 december),2025-11-12,0.575826123226608,0.07278987721304084,25.937751044121814
